ID;STARTNUMBER;GENDER;FIRSTNAME;LASTNAME;FULLNAME;SORTORDER;DEFLAPTIME;PICTUREURL;TEAM_ID;EVENT_ID
18827;1011;m;Bruno;Hohenberger;Hohenberger, Bruno;;30;;3883;2
18828;1021;m;Adrian;Zeisberg;Zeisberg, Adrian;;30;;3884;2
18829;1031;m;Hendrik;Großer;Großer, Hendrik;;30;;3885;2
18830;1041;m;Dirk;Schmiedel;Schmiedel, Dirk;;30;;3886;2
18831;1051;m;Enrico;Wodrich;Wodrich, Enrico;;30;;3887;2
18832;1061;m;Dirk;Simon;Simon, Dirk;;30;;3888;2
18833;1071;m;Kai;Edel;Edel, Kai;;30;;3889;2
18834;1081;m;Jörg;Geigner;Geigner, Jörg;;30;;3890;2
18835;1091;m;Steve;Gründl;Gründl, Steve;;30;;3891;2
18836;1101;m;Tom;Jans;Jans, Tom;;30;;3892;2
18837;1111;m;Dominik;Neef;Neef, Dominik;;30;;3893;2
18838;1121;m;Michael;Steude;Steude, Michael;;30;;3894;2
18839;1131;m;Toralf;Wiek;Wiek, Toralf;;30;;3895;2
18840;1151;m;Olaf;Hähnel;Hähnel, Olaf;;30;;3896;2
18841;1161;m;Dirk;Tanneberger;Tanneberger, Dirk;;30;;3897;2
19957;4421;m;Daniel;Fischer;Fischer, Daniel;1;26;;4033;2
18843;1181;m;Christian;Jungnickel;Jungnickel, Christian;;30;;3899;2
18844;1191;m;Christian;Krauß;Krauß, Christian;;30;;3900;2
18845;1201;m;Andreas;Bemmann;Bemmann, Andreas;;30;;3901;2
18846;1211;m;Erik;Knauf;Knauf, Erik;;30;;3902;2
18847;1221;m;Matthias;Laß;Laß, Matthias;;30;;3903;2
18848;1231;m;Dennis;Sczudlek;Sczudlek, Dennis;;30;;3904;2
18849;1241;m;Hendrik;Sebastian;Sebastian, Hendrik;;30;;3905;2
18850;1251;m;Anselm;Holthaus;Holthaus, Anselm;;30;;3906;2
18851;1261;m;Erik;Seidel;Seidel, Erik;;30;;3907;2
18852;1271;m;René;Gottschlich;Gottschlich, René;;30;;3908;2
18853;1281;m;Thomas;Schäfer;Schäfer, Thomas;;30;;3909;2
18854;1291;m;Ronny;Wentzke;Wentzke, Ronny;;30;;3910;2
18855;1301;m;Andre;Jähnig;Jähnig, Andre;;30;;3911;2
18856;1311;m;Marco;Leuser;Leuser, Marco;;30;;3912;2
18857;1321;m;Ralf;Leißner;Leißner, Ralf;;30;;3913;2
18859;1341;m;Maik;Fiedler;Fiedler, Maik;;30;;3915;2
18860;1351;f;Sandy;Schott;Schott, Sandy;;30;;3916;2
18861;1361;f;Astrid;Narud;Narud, Astrid;;30;;3917;2
18862;1371;m;Ronny;Wischofsky;Wischofsky, Ronny;;30;;3918;2
18863;1381;m;Björn;Heinrich;Heinrich, Björn;;30;;3919;2
18864;1391;m;Wolfgang;Kelch;Kelch, Wolfgang;;30;;3920;2
18865;1401;m;Norman;Schönherr;Schönherr, Norman;;30;;3921;2
18866;1411;m;Stefan;Grüner;Grüner, Stefan;;30;;3922;2
18867;1421;m;Wolfram;Schippers;Schippers, Wolfram;;30;;3923;2
18868;1431;m;Steffen;Michel;Michel, Steffen;;30;;3924;2
18869;1441;m;Ralph;Gerlach;Gerlach, Ralph;;30;;3925;2
18870;1451;m;Markus;Braun;Braun, Markus;;30;;3926;2
18871;1461;m;Herbert;Luther;Luther, Herbert;;30;;3927;2
18872;1471;m;Jörg;Prüfer;Prüfer, Jörg;;30;;3928;2
18873;1481;m;Gero;Wahren;Wahren, Gero;;30;;3929;2
18874;1491;m;Jonas;Schneider;Schneider, Jonas;;30;;3930;2
18875;1501;m;Michel;Baumann;Baumann, Michel;;30;;3931;2
18876;1511;m;Sven;Kohorst;Kohorst, Sven;;30;;3932;2
18877;1521;m;Thomas;Eimicke;Eimicke, Thomas;;30;;3933;2
19819;1751;m;Kai;Saaler;Saaler, Kai;;30;;4075;2
18879;1541;m;Thomas;Porst;Porst, Thomas;;30;;3935;2
18880;1551;m;Stefan;Hackl;Hackl, Stefan;;30;;3936;2
18881;1561;m;Marcus;Kröning;Kröning, Marcus;;30;;3937;2
18882;1571;m;Erik;Winter;Winter, Erik;;30;;3938;2
18883;1581;m;Peter;Schmidt;Schmidt, Peter;;30;;3939;2
18884;1591;m;Kai;Winkler;Winkler, Kai;;30;;3940;2
18930;2191;m;Steffen;Zeuner;Zeuner, Steffen;;30;;3969;2
18886;1611;m;Frank;Leupold;Leupold, Frank;;30;;3942;2
18887;1621;f;Isabell;Zierer;Zierer, Isabell;;30;;3943;2
18888;1631;f;Katrin;Reichelt;Reichelt, Katrin;;30;;3944;2
18889;1641;m;Markus;Thiel;Thiel, Markus;;30;;3945;2
19820;2441;m;Ralph;Gerlach;Gerlach, Ralph;;30;;4072;2
18891;1661;m;Andreas;Schmelzer;Schmelzer, Andreas;;30;;3947;2
18892;1671;m;Daniel;Bürgin;Bürgin, Daniel;;30;;3948;2
18893;1681;m;Thomas;Güra;Güra, Thomas;;30;;3949;2
18894;1691;m;Joachim;Neubert;Neubert, Joachim;;30;;3950;2
18895;1791;m;Michael;Brauns;Brauns, Michael;;30;;3951;2
18896;2021;m;André;Orgis;Orgis, André;;30;;3952;2
18897;2022;f;Nancy;Orgis;Orgis, Nancy;;30;;3952;2
19960;4424;m;Michael;Bretschneider;Bretschneider, Michael;3;26;;4033;2
19959;4423;m;Norman;Schröder;Schröder, Norman;4;23;;4033;2
18900;2041;m;Tom;Baisch;Baisch, Tom;;30;;3954;2
18901;2042;f;Marta;Beni;Beni, Marta;;30;;3954;2
18902;2051;m;Jürgen;Stiller;Stiller, Jürgen;;30;;3955;2
18903;2052;m;Matthias;Erl;Erl, Matthias;;30;;3955;2
18904;2061;;;;, ;;30;;3956;2
18905;2062;;;;, ;;30;;3956;2
18906;2071;m;Raphael;Jonuscheit;Jonuscheit, Raphael;;30;;3957;2
18907;2072;f;Katja;Kirchhoff;Kirchhoff, Katja;;30;;3957;2
18908;2081;f;Theres;Klein;Klein, Theres;;30;;3958;2
18909;2082;m;Roy;Bruns;Bruns, Roy;;30;;3958;2
18910;2091;m;Andreas;Schmidt;Schmidt, Andreas;;30;;3959;2
18911;2092;m;Falko;Zeeh;Zeeh, Falko;;30;;3959;2
18912;2101;m;Jonas;Polleter;Polleter, Jonas;;30;;3960;2
18913;2102;m;David;Goetz;Goetz, David;;30;;3960;2
18914;2111;m;Felix;Meyer;Meyer, Felix;;30;;3961;2
18915;2112;m;Max;Friedel;Friedel, Max;;30;;3961;2
18916;2121;m;Tom;Scheibner;Scheibner, Tom;;30;;3962;2
18917;2122;m;Patrick;Koburger;Koburger, Patrick;;30;;3962;2
18918;2131;f;Janka;Rieckhoff;Rieckhoff, Janka;;30;;3963;2
18919;2132;m;Jens;Herzner;Herzner, Jens;;30;;3963;2
18920;2141;f;Stefanie;Hess;Hess, Stefanie;;30;;3964;2
18921;2142;m;Markus;Honka;Honka, Markus;;30;;3964;2
18922;2151;f;Juliane;Pella;Pella, Juliane;;30;;3965;2
18923;2152;m;Marco;Schippers;Schippers, Marco;;30;;3965;2
18924;2161;m;Andreas;Maiwald;Maiwald, Andreas;;30;;3966;2
18925;2162;m;Sebastian;Reinhold;Reinhold, Sebastian;;30;;3966;2
18926;2171;m;Florian;Lüder;Lüder, Florian;;30;;3967;2
18927;2172;m;Fabian;Marx;Marx, Fabian;;30;;3967;2
18928;2181;;;;, ;;30;;3968;2
18929;2182;;;;, ;;30;;3968;2
18931;2192;m;Christian;Schmidt;Schmidt, Christian;;30;;3969;2
18885;1601;m;Sven;Kloß;Kloß, Sven;;30;;3941;2
18932;2201;f;Milleine;Schardt;Schardt, Milleine;;30;;3970;2
18933;2202;m;Julian;Winkler;Winkler, Julian;;30;;3970;2
18934;2211;m;Sven;Kühnemund;Kühnemund, Sven;;30;;3971;2
18935;2212;m;Dirk;Kühnemund;Kühnemund, Dirk;;30;;3971;2
18936;2221;m;Sven;Scherner;Scherner, Sven;;30;;3972;2
18937;2222;m;Christopher;Kaan;Kaan, Christopher;;30;;3972;2
18938;2231;f;Luise;Schönwald;Schönwald, Luise;;30;;3973;2
18939;2232;m;Stefan;Jasper;Jasper, Stefan;;30;;3973;2
18940;2241;;;;, ;;30;;3974;2
18942;2251;m;Daniel;Götze;Götze, Daniel;;30;;3975;2
18943;2252;f;Sandy;Stolarz;Stolarz, Sandy;;30;;3975;2
18944;2261;m;Wilhelm;Paech;Paech, Wilhelm;;30;;3976;2
18945;2262;f;Katja;Winkler;Winkler, Katja;;30;;3976;2
18946;2271;m;Markus;Rode;Rode, Markus;;30;;3977;2
18947;2272;m;Michel;Weißbach;Weißbach, Michel;;30;;3977;2
18948;2281;m;Mirko;Uhlig;Uhlig, Mirko;;30;;3978;2
18949;2282;m;Rico;Gamm;Gamm, Rico;;30;;3978;2
18950;2291;m;Joe;Männl;Männl, Joe;;30;;3979;2
18951;2292;m;David;Schmidt;Schmidt, David;;30;;3979;2
18952;2301;m;Jan;Förster;Förster, Jan;;30;;3980;2
18953;2302;m;Rico;Göhtel;Göhtel, Rico;;30;;3980;2
19821;2442;;;;, ;;30;;4072;2
19822;4062;m;Christian;Erfurt;Erfurt, Christian;;30;;3999;2
18956;2331;m;Christoph;Werner;Werner, Christoph;;30;;3982;2
18957;2332;m;Clemens;Degenhardt;Degenhardt, Clemens;;30;;3982;2
18958;2341;m;Jens;Oehler;Oehler, Jens;;30;;3983;2
18959;2342;m;Alexander;Rantzsch;Rantzsch, Alexander;;30;;3983;2
19849;4131;m;Christian;Knopf;Knopf, Christian;;23;;4006;2
19850;4132;m;Peter;Michalak;Michalak, Peter;;22;;4006;2
18962;2371;m;Bernhard;Schulz;Schulz, Bernhard;;30;;3985;2
18963;2372;m;Veit;Zaddach;Zaddach, Veit;;30;;3985;2
18964;2381;m;Daniel;Scheithauer;Scheithauer, Daniel;;30;;3986;2
18965;2382;m;Ullrich;Franz;Franz, Ullrich;;30;;3986;2
18966;2391;m;Robin;Pierer;Pierer, Robin;;30;;3987;2
18967;2392;m;Markus;Stier;Stier, Markus;;30;;3987;2
18968;2401;;;;, ;;30;;3988;2
18969;2402;;;;, ;;30;;3988;2
18970;2411;f;Mira;Lang;Lang, Mira;;30;;3989;2
18971;2412;f;Raphaela;Schramek;Schramek, Raphaela;;30;;3989;2
18972;2421;m;Stephan;Rusdorf;Rusdorf, Stephan;;30;;3990;2
18973;2422;f;Noémi;Füstös-Rusdorf;Füstös-Rusdorf, Noémi;;30;;3990;2
18976;2451;m;Torsten;Prenzlow;Prenzlow, Torsten;;30;;3992;2
18977;2452;m;Aaren;Prenzlow;Prenzlow, Aaren;;30;;3992;2
18978;2461;m;Daniel;Dietze;Dietze, Daniel;;30;;3993;2
18979;2462;m;Mathias;Schreiber;Schreiber, Mathias;;30;;3993;2
18980;4011;;;;, ;;30;;3994;2
18981;4012;;;;, ;;30;;3994;2
18982;4013;;;;, ;;30;;3994;2
18983;4014;;;;, ;;30;;3994;2
18984;4021;m;Gordon;Prell;Prell, Gordon;;30;;3995;2
18985;4022;m;Stefan;Petersohn;Petersohn, Stefan;;30;;3995;2
18986;4023;m;Dirk;Scholz;Scholz, Dirk;;30;;3995;2
18987;4024;f;Anika;Geyer;Geyer, Anika;;30;;3995;2
19823;4063;m;Niko;Schäfer;Schäfer, Niko;;30;;3999;2
19824;4064;m;Stefan;Deutschmann;Deutschmann, Stefan;;30;;3999;2
19825;4071;m;Marco;Engelmann;Engelmann, Marco;;30;;4000;2
19826;4072;f;Karola;Engelmann;Engelmann, Karola;;30;;4000;2
19906;4272;m;Hans Peter;Stockmann;Stockmann, Hans Peter;;30;;4020;2
19851;4133;m;Andon;Stanimirov;Stanimirov, Andon;;21;;4006;2
18996;4051;m;Martin;Pährisch;Pährisch, Martin;;30;;3998;2
18997;4052;m;Tom;Wetzel;Wetzel, Tom;;30;;3998;2
18998;4053;m;Michael;Liebers;Liebers, Michael;;30;;3998;2
18999;4054;m;Ernst;Schwarz;Schwarz, Ernst;;30;;3998;2
19000;4061;m;Hendrik;Türpe;Türpe, Hendrik;;30;;3999;2
19827;4073;m;Dirk;Schwerdtfeger;Schwerdtfeger, Dirk;;30;;4000;2
19828;4074;m;Michael;Nötzel;Nötzel, Michael;;30;;4000;2
19829;4081;;;;, ;;30;;4001;2
19830;4082;;;;, ;;30;;4001;2
19831;4083;;;;, ;;30;;4001;2
19832;4084;;;;, ;;30;;4001;2
19833;4091;m;Jörg;Salzer;Salzer, Jörg;;30;;4002;2
19834;4092;m;Friedrich;Salzer;Salzer, Friedrich;;30;;4002;2
19835;4093;m;Richard;Salzer;Salzer, Richard;;30;;4002;2
19836;4094;m;Mike;Salzer;Salzer, Mike;;30;;4002;2
19837;4101;m;Sascha;Liebrenz;Liebrenz, Sascha;;30;;4003;2
19838;4102;f;Yvonne;Liebrenz;Liebrenz, Yvonne;;30;;4003;2
19839;4103;m;Uwe;Kuhnlein;Kuhnlein, Uwe;;30;;4003;2
19840;4104;f;Kerstin;Kuhnlein;Kuhnlein, Kerstin;;30;;4003;2
19841;4111;m;Lennart;Gensch;Gensch, Lennart;;30;;4004;2
19842;4112;f;Franziska;Bauer;Bauer, Franziska;;30;;4004;2
19843;4113;m;Justin;Rudolph;Rudolph, Justin;;30;;4004;2
19844;4114;m;Philipp;Männel;Männel, Philipp;;30;;4004;2
19845;4121;m;Amon;Hentschel;Hentschel, Amon;;30;;4005;2
19846;4122;m;Bastian;Thiedig-Szellem;Thiedig-Szellem, Bastian;;30;;4005;2
19847;4123;m;Marius;Heydt;Heydt, Marius;;30;;4005;2
19848;4124;m;Emanuel;Junge;Junge, Emanuel;;30;;4005;2
19852;4134;m;Daniel;Machts;Machts, Daniel;;23;;4006;2
19853;4141;m;Martin;Kämpfe;Kämpfe, Martin;;30;;4007;2
19854;4142;f;Yvonne;Wartenberg;Wartenberg, Yvonne;;30;;4007;2
19855;4143;m;Michél;Popp;Popp, Michél;;30;;4007;2
19856;4144;m;Dirk Lange;Dirk Lange;Dirk Lange, Dirk Lange;;30;;4007;2
19857;4151;m;Robert;Walther;Walther, Robert;;30;;4008;2
19858;4152;m;Christof;Hartig;Hartig, Christof;;30;;4008;2
19859;4153;m;Andy;Pielack;Pielack, Andy;;30;;4008;2
19860;4154;m;Tim;Plagemann;Plagemann, Tim;;30;;4008;2
19861;4161;m;Uwe;Schulze;Schulze, Uwe;;30;;4009;2
19862;4162;m;Robby;Schulz;Schulz, Robby;;30;;4009;2
19863;4163;m;Michael;Ortmann;Ortmann, Michael;;30;;4009;2
19864;4164;m;Michael;Pürzel;Pürzel, Michael;;30;;4009;2
19866;4172;m;Adrian;Gensch;Gensch, Adrian;;30;;4010;2
19867;4173;m;Ken;Meier;Meier, Ken;;30;;4010;2
19868;4174;m;Tom;Buschner;Buschner, Tom;;30;;4010;2
19869;4181;m;Robin;Fischer;Fischer, Robin;;30;;4011;2
19870;4182;m;Michael;Voigt;Voigt, Michael;;30;;4011;2
19871;4183;m;Norman;Fiedler;Fiedler, Norman;;30;;4011;2
19872;4184;m;Matthias;Nagel;Nagel, Matthias;;30;;4011;2
19873;4191;m;Kay;Strauß;Strauß, Kay;;30;;4012;2
19874;4192;m;Holger;Wandelt;Wandelt, Holger;;30;;4012;2
19875;4193;m;Marcel;Waldenburger;Waldenburger, Marcel;;30;;4012;2
19876;4194;m;Jens;Kieselstein;Kieselstein, Jens;;30;;4012;2
19877;4201;m;Dirk;Nowack;Nowack, Dirk;;30;;4013;2
19878;4202;m;Marcus;Weber;Weber, Marcus;;30;;4013;2
19879;4203;m;Mario;Göckeritz;Göckeritz, Mario;;30;;4013;2
19880;4204;m;Anton;Koop;Koop, Anton;;30;;4013;2
19881;4211;;;;, ;;30;;4014;2
19882;4212;;;;, ;;30;;4014;2
19883;4213;;;;, ;;30;;4014;2
19884;4214;;;;, ;;30;;4014;2
19885;4221;m;Martin;Schreiber;Schreiber, Martin;;30;;4015;2
19886;4222;m;Jan;Pempe;Pempe, Jan;;30;;4015;2
19887;4223;m;Andre;Möwe;Möwe, Andre;;30;;4015;2
19888;4224;m;Sven;Köhler;Köhler, Sven;;30;;4015;2
18858;1331;m;Christian;Leschke;Leschke, Christian;;30;;3914;2
19893;4241;m;Lars;Plambeck;Plambeck, Lars;;30;;4017;2
19894;4242;m;Gerd;Sabolewsky;Sabolewsky, Gerd;;30;;4017;2
19895;4243;m;Philipp;Mader;Mader, Philipp;;30;;4017;2
19896;4244;f;Julia;Polley;Polley, Julia;;30;;4017;2
19897;4251;m;Lutz;Illing;Illing, Lutz;;30;;4018;2
19898;4252;m;Kai-Uwe;Lehnung;Lehnung, Kai-Uwe;;30;;4018;2
19899;4253;m;Carsten;Hahn;Hahn, Carsten;;30;;4018;2
19900;4254;m;Gunnar;Klemm;Klemm, Gunnar;;30;;4018;2
19901;4261;m;Patrick;Fiebich;Fiebich, Patrick;;30;;4019;2
19902;4262;m;Tobias;Zwinzscher;Zwinzscher, Tobias;;30;;4019;2
19903;4263;m;Alexander;Winkler;Winkler, Alexander;;30;;4019;2
19904;4264;m;Lutz;Winkler;Winkler, Lutz;;30;;4019;2
19905;4271;m;Felix;Oehme;Oehme, Felix;;30;;4020;2
19908;4274;m;Florian;Franke;Franke, Florian;;30;;4020;2
19909;4291;m;Andreas;Bahr;Bahr, Andreas;;30;;4021;2
19910;4292;m;Christian;Rost;Rost, Christian;;30;;4021;2
19911;4293;m;Enrico;Zeitschel;Zeitschel, Enrico;;30;;4021;2
19912;4294;m;Ralf;Herder;Herder, Ralf;;30;;4021;2
19913;4301;m;Marcus;Oertelt;Oertelt, Marcus;;30;;4022;2
19914;4302;m;Frank;Zils;Zils, Frank;;30;;4022;2
19915;4303;m;Patrick;Huml;Huml, Patrick;;30;;4022;2
19916;4304;m;Marcel;Kießling;Kießling, Marcel;;30;;4022;2
19917;4311;m;Torsten;Meusel;Meusel, Torsten;;30;;4023;2
19918;4312;m;Alexander;Arnold;Arnold, Alexander;;30;;4023;2
19919;4313;m;Christian;Patzelt;Patzelt, Christian;;30;;4023;2
19920;4314;m;Mike;Ulbrich;Ulbrich, Mike;;30;;4023;2
19921;4321;m;Maik;Giesel;Giesel, Maik;;30;;4024;2
19922;4322;m;Heiko;Schauer;Schauer, Heiko;;30;;4024;2
19923;4323;m;Holger;Riesen;Riesen, Holger;;30;;4024;2
19924;4324;m;Marko;Ebert;Ebert, Marko;;30;;4024;2
19925;4331;m;Uwe;Arlt;Arlt, Uwe;;30;;4025;2
19926;4332;m;Hendrik;Kinder;Kinder, Hendrik;;30;;4025;2
19927;4333;m;Hendrik;Mikolaschek;Mikolaschek, Hendrik;;30;;4025;2
19928;4334;m;Matthias;Albert;Albert, Matthias;;30;;4025;2
19929;4351;m;Alexander;Luft;Luft, Alexander;;30;;4026;2
19930;4352;m;Frank;Haustein;Haustein, Frank;;30;;4026;2
19931;4353;m;Sebastian;Kögler;Kögler, Sebastian;;30;;4026;2
19932;4354;m;Holger;Epperlein;Epperlein, Holger;;30;;4026;2
19933;4361;m;Ulf;Hahner;Hahner, Ulf;;30;;4027;2
19934;4362;m;Mike;Neuhäuser - Haase;Neuhäuser - Haase, Mike;;30;;4027;2
19935;4363;m;Matthias;Stein;Stein, Matthias;;30;;4027;2
19936;4364;m;Mirko;Weber;Weber, Mirko;;30;;4027;2
19937;4371;m;Marcel;Bauch;Bauch, Marcel;;30;;4028;2
19938;4372;f;Rebekka;Weise;Weise, Rebekka;;30;;4028;2
19939;4373;m;David;Clauß;Clauß, David;;30;;4028;2
19940;4374;m;Ronald;Gedatke;Gedatke, Ronald;;30;;4028;2
19941;4381;m;Axel;Wittenberger;Wittenberger, Axel;;30;;4029;2
18898;2031;f;Katja;Neuhaus;Neuhaus, Katja;;30;;3953;2
19944;4384;f;Birgit;Blümel;Blümel, Birgit;;30;;4029;2
18842;1171;m;Dandy;Müller;Müller, Dandy;;30;;3898;2
19949;4401;m;André;Landgraf;Landgraf, André;;30;;4031;2
19950;4402;m;Daniel;Markstein;Markstein, Daniel;;30;;4031;2
19951;4403;m;Jörg;Richter;Richter, Jörg;;30;;4031;2
19952;4404;m;Marcel;Werning;Werning, Marcel;;30;;4031;2
18899;2032;m;Uwe;Neuhaus;Neuhaus, Uwe;;30;;3953;2
19942;4382;m;Ralf;Wittenberger;Wittenberger, Ralf;;30;;4029;2
19943;4383;m;Andi;Liebing;Liebing, Andi;;30;;4029;2
20019;6073;f;Karoline;Donnerstag;Donnerstag, Karoline;;30;;4045;2
20020;6074;m;Max;Riess;Riess, Max;;30;;4045;2
20021;6075;m;Matthias;Wasserzier;Wasserzier, Matthias;;30;;4045;2
20022;6076;f;Anja;Nette;Nette, Anja;;30;;4045;2
19907;4273;m;Jens;Heim;Heim, Jens;;30;;4020;2
19965;4471;m;Mirko;Toth;Toth, Mirko;;30;;4035;2
19966;4472;m;Jan;Ruschka;Ruschka, Jan;;30;;4035;2
19967;4473;m;Ralf;Krumpelt;Krumpelt, Ralf;;30;;4035;2
19968;4474;m;Andre;Vogel;Vogel, Andre;;30;;4035;2
