ID;ContestName;Category;GenderCategory;Event_ID;StartTime;EndTime
1;1er-Team;1er;Männer;1;2019-06-29 10:12:00.000000001;2019-06-30 10:00:00.000000001
2;2er-Team;2er;Männer;1;2019-06-29 10:10:00.000000001;2019-06-30 10:00:00.000000001
3;8er-Team;8er;Frauen;1;2019-06-29 10:05:00.000000001;2019-06-30 10:00:00.000000001
4;4er-Team;4er;Männer;1;2019-06-29 10:00:00.000000001;2019-06-30 10:00:00.000000001
5;1er-Team;1er;Frauen;1;2019-06-29 10:12:00.000000001;2019-06-30 10:00:00.000000001
6;2er-Team;2er;Frauen;1;2019-06-29 10:10:00.000000001;2019-06-30 10:00:00.000000001
7;4er-Team;4er;Frauen;1;2019-06-29 10:05:00.000000001;2019-06-30 10:00:00.000000001
8;8er-Team;8er;Männer;1;2019-06-29 10:00:00.000000001;2019-06-30 10:00:00.000000001
9;1er-Team;1er;Mixed;1;2019-06-29 10:12:00.000000001;2019-06-30 10:00:00.000000001
10;2er-Team;2er;Mixed;1;2019-06-29 10:10:00.000000001;2019-06-30 10:00:00.000000001
11;4er-Team;4er;Mixed;1;2019-06-29 10:05:00.000000001;2019-06-30 10:00:00.000000001
12;8er-Team;8er;Mixed;1;2019-06-29 10:00:00.000000001;2019-06-30 10:00:00.000000001
13;1er-Team;1er;Männer;2;2021-08-21 10:12:00.000000001;2021-08-22 10:00:00.000000001
14;2er-Team;2er;Männer;2;2021-08-21 10:09:00.000000001;2021-08-22 10:00:00.000000001
15;4er-Team;4er;Männer;2;2021-08-21 10:06:00.000000001;2021-08-22 10:00:00.000000001
16;8er-Team;8er;Männer;2;2021-08-21 10:00:00.000000001;2021-08-22 10:00:00.000000001
17;1er-Team;1er;Frauen;2;2021-08-21 10:12:00.000000001;2021-08-22 10:00:00.000000001
18;2er-Team;2er;Frauen;2;2021-08-21 10:09:00.000000001;2021-08-22 10:00:00.000000001
19;4er-Team;4er;Frauen;2;2021-08-21 10:06:00.000000001;2021-08-22 10:00:00.000000001
20;8er-Team;8er;Frauen;2;2021-08-21 10:00:00.000000001;2021-08-22 10:00:00.000000001
21;1er-Team;1er;Mixed;2;2021-08-21 10:12:00.000000001;2021-08-22 10:00:00.000000001
22;2er-Team;2er;Mixed;2;2021-08-21 10:09:00.000000001;2021-08-22 10:00:00.000000001
23;4er-Team;4er;Mixed;2;2021-08-21 10:06:00.000000001;2021-08-22 10:00:00.000000001
24;8er-Team;8er;Mixed;2;2021-08-21 10:00:00.000000001;2021-08-22 10:00:00.000000001
25;6er-Team;6er;Männer;2;2021-08-21 10:03:00.000000001;2021-08-22 10:00:00.000000001
26;6er-Team;6er;Frauen;2;2021-08-21 10:03:00.000000001;2021-08-22 10:00:00.000000001
27;6er-Team;6er;Mixed;2;2021-08-21 10:03:00.000000001;2021-08-22 10:00:00.000000001
28;1er-Team;1er;Männer;3;2022-06-25 10:12:00.000000001;2022-06-26 10:00:00.000000001
29;2er-Team;2er;Männer;3;2022-06-25 10:09:00.000000001;2022-06-26 10:00:00.000000001
30;4er-Team;4er;Männer;3;2022-06-25 10:06:00.000000001;2022-06-26 10:00:00.000000001
31;6er-Team;6er;Männer;3;2022-06-25 10:03:00.000000001;2022-06-26 10:00:00.000000001
32;8er-Team;8er;Männer;3;2022-06-25 10:00:00.000000001;2022-06-26 10:00:00.000000001
33;1er-Team;1er;Frauen;3;2022-06-25 10:12:00.000000001;2022-06-26 10:00:00.000000001
34;2er-Team;2er;Frauen;3;2022-06-25 10:09:00.000000001;2022-06-26 10:00:00.000000001
35;4er-Team;4er;Frauen;3;2022-06-25 10:06:00.000000001;2022-06-26 10:00:00.000000001
36;6er-Team;6er;Frauen;3;2022-06-25 10:03:00.000000001;2022-06-26 10:00:00.000000001
37;8er-Team;8er;Frauen;3;2022-06-25 10:00:00.000000001;2022-06-26 10:00:00.000000001
38;1er-Team;1er;Mixed;3;2022-06-25 10:12:00.000000001;2022-06-26 10:00:00.000000001
39;2er-Team;2er;Mixed;3;2022-06-25 10:09:00.000000001;2022-06-26 10:00:00.000000001
40;4er-Team;4er;Mixed;3;2022-06-25 10:06:00.000000001;2022-06-26 10:00:00.000000001
41;6er-Team;6er;Mixed;3;2022-06-25 10:03:00.000000001;2022-06-26 10:00:00.000000001
42;8er-Team;8er;Mixed;3;2022-06-25 10:00:00.000000001;2022-06-26 10:00:00.000000001
43;4er-Team;4er;Männer;4;2022-03-16 06:45:00.000000001;2022-03-17 10:00:00.000000001
44;6er-Team;6er;Frauen;4;2022-03-16 06:45:00.000000001;2022-03-17 10:00:00.000000001
45;8er-Team;8er;Männer;4;2022-03-16 06:45:00.000000001;2022-03-17 10:00:00.000000001